r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 8 144 25.614 8.471 133.306 13.798 59.035 -73.276 19.703 6.516 102.543 11.303 54.092 -67.14 30 8.265
0 8 152 28.845 9.513 150.174 14.973 61.543 -76.3 22.188 7.317 115.519 12.38 56.389 -69.911 30 8.609
0 8 160 32.151 10.579 167.434 16.09 63.913 -79.165 24.731 8.138 128.795 13.403 58.561 -72.536 30 8.934
0 8 168 35.567 11.681 185.268 17.168 66.192 -81.922 27.359 8.985 142.514 14.39 60.649 -75.062 30 9.247
0 8 176 39.111 12.824 203.773 18.216 68.401 -84.6 30.085 9.865 156.748 15.351 62.673 -77.515 30 9.55
0 8 184 42.841 14.027 223.25 19.254 70.581 -87.246 32.955 10.79 171.731 16.302 64.671 -79.94 30 9.85
0 8 192 46.956 15.355 244.732 20.333 72.84 -89.99 36.12 11.811 188.255 17.29 66.741 -82.454 30 10.161
0 8 200 52.395 17.109 273.132 21.667 75.627 -93.379 40.304 13.161 210.102 18.513 69.294 -85.559 30 10.545
0 8 208 58.314 19.018 304.035 23.019 78.444 -96.807 44.857 14.63 233.873 19.752 71.875 -88.7 30 10.934
0 8 216 64.694 21.076 337.344 24.379 81.269 -100.248 49.765 16.213 259.495 20.997 74.463 -91.854 30 11.323
0 8 224 71.371 23.23 372.204 25.71 84.029 -103.614 54.901 17.869 286.311 22.217 76.992 -94.937 30 11.705
0 8 232 77.498 25.206 404.196 26.861 86.412 -106.521 59.614 19.39 310.92 23.271 79.176 -97.601 30 12.034
0 8 240 83.573 27.166 435.912 27.944 88.651 -109.255 64.287 20.897 335.317 24.264 81.227 -100.106 30 12.343
0 8 248 91.034 29.573 474.867 29.205 91.255 -112.435 70.026 22.748 365.282 25.419 83.613 -103.02 30 12.703
0 16 0 0.227 0.633 0.039 1.144 -15.318 13.341 0.174 0.487 0.03 0.88 -14.036 12.224 30 1.721
0 16 8 0.294 0.654 0.392 1.183 -12.409 4.024 0.226 0.503 0.301 0.91 -11.37 3.687 30 1.126
0 16 16 0.407 0.691 0.981 1.249 -8.57 -1.967 0.313 0.531 0.755 0.961 -7.852 -1.802 30 0.791
0 16 24 0.662 0.773 2.311 1.397 -2.405 -9.132 0.509 0.595 1.778 1.075 -2.203 -8.368 30 0.854
0 16 32 1.029 0.891 4.227 1.611 3.564 -15.2 0.791 0.686 3.252 1.239 3.266 -13.927 30 1.359
0 16 40 1.466 1.032 6.509 1.866 8.564 -20.089 1.127 0.794 5.007 1.435 7.847 -18.406 30 1.879
0 16 48 2.047 1.22 9.542 2.205 13.427 -24.828 1.574 0.938 7.34 1.696 12.303 -22.749 30 2.418
0 16 56 2.81 1.466 13.526 2.65 18.17 -29.51 2.161 1.128 10.405 2.038 16.648 -27.039 30 2.966
0 16 64 3.778 1.778 18.582 3.214 22.72 -34.098 2.906 1.368 14.294 2.473 20.817 -31.242 30 3.51
0 16 72 4.887 2.136 24.374 3.861 26.785 -38.291 3.759 1.643 18.749 2.97 24.542 -35.085 30 4.013
0 16 80 6.241 2.572 31.439 4.65 30.758 -42.481 4.8 1.979 24.183 3.577 28.182 -38.923 30 4.521
0 16 88 7.863 3.096 39.912 5.597 34.638 -46.658 6.049 2.382 30.701 4.305 31.738 -42.751 30 5.035
0 16 96 9.752 3.705 49.773 6.698 38.38 -50.76 7.502 2.85 38.287 5.152 35.166 -46.51 30 5.549
0 16 104 11.882 4.392 60.891 7.94 41.94 -54.725 9.14 3.379 46.84 6.107 38.428 -50.142 30 6.057
0 16 112 14.241 5.153 73.208 9.249 45.326 -58.547 10.954 3.964 56.314 7.165 41.531 -53.644 30 6.541
0 16 120 16.756 5.964 86.343 10.51 48.48 -62.144 12.89 4.588 66.417 8.29 44.42 -56.94 30 6.963
0 16 128 19.441 6.83 100.358 11.735 51.462 -65.577 14.954 5.254 77.198 9.413 47.153 -60.086 30 7.357
0 16 136 22.562 7.837 116.653 13.036 54.557 -69.167 17.355 6.029 89.733 10.605 49.988 -63.375 30 7.767
0 16 144 25.756 8.867 133.33 14.257 57.406 -72.493 19.812 6.821 102.562 11.723 52.599 -66.423 30 8.147
0 16 152 28.987 9.91 150.199 15.398 60.031 -75.575 22.298 7.623 115.538 12.769 55.004 -69.246 30 8.499
0 16 160 32.293 10.976 167.458 16.486 62.503 -78.488 24.841 8.443 128.814 13.766 57.269 -71.916 30 8.831
