0.98431563 	0.98444563 	0.98378017 
0.95194008 	0.95113823 	0.94752388 
0.92699229 	0.92595669 	0.92034109 
0.90539430 	0.90444249 	0.89709712 
0.88890770 	0.88781810 	0.87978928 
0.87176290 	0.87061133 	0.86189216 
0.85681207 	0.85534582 	0.84595934 
0.84185010 	0.84062698 	0.83041229 
0.82608053 	0.82534042 	0.81468611 
0.81273546 	0.81164258 	0.80073488 
0.79727113 	0.79599615 	0.78461428 
0.78135687 	0.78050813 	0.76848659 
0.76603722 	0.76506315 	0.75276749 
0.75071758 	0.74961817 	0.73704839 
0.73560620 	0.73491399 	0.72191150 
0.72057594 	0.71987192 	0.70699542 
0.70467281 	0.70383723 	0.69048196 
0.68774268 	0.68704069 	0.67359293 
0.67065673 	0.67058936 	0.65668817 
0.65394600 	0.65398695 	0.63999557 
0.63774877 	0.63776547 	0.62349075 
0.62162152 	0.62175276 	0.60759252 
0.60600777 	0.60612099 	0.59188207 
0.59061343 	0.59068334 	0.57636805 
0.57536377 	0.57544714 	0.56125554 
0.56039707 	0.56094440 	0.54652015 
0.54609971 	0.54647739 	0.53198828 
0.53127770 	0.53217611 	0.51765441 
0.51711389 	0.51845721 	0.50390982 
0.50384994 	0.50442149 	0.49017941 
0.49034431 	0.49128497 	0.47702411 
0.47721391 	0.47799737 	0.46408098 
0.46560815 	0.46661532 	0.45289863 
0.45561288 	0.45658483 	0.44288622 
0.44598169 	0.44694992 	0.43347175 
0.43635051 	0.43731501 	0.42405727 
0.42656349 	0.42802532 	0.41462706 
0.41715170 	0.41858453 	0.40540902 
0.40795931 	0.40933788 	0.39638740 
0.39906102 	0.40027802 	0.38735714 
0.38993220 	0.39157071 	0.37851622 
0.38103391 	0.38251085 	0.36948596 
0.37220560 	0.37365978 	0.36106228 
0.36329617 	0.36514659 	0.35241779 
0.35468726 	0.35648964 	0.34419055 
0.34637246 	0.34801949 	0.33595465 
0.33835176 	0.33973614 	0.32771011 
0.32981755 	0.33107187 	0.31927779 
0.32105282 	0.32276013 	0.31103481 
0.31258218 	0.31463520 	0.30278318 
0.30448677 	0.30635917 	0.29474371 
0.29617197 	0.29788903 	0.28650782 
0.28806542 	0.29015967 	0.27885413 
0.27975062 	0.28168952 	0.27061824 
0.27165521 	0.27341350 	0.26257877 
0.26377920 	0.26533161 	0.25473574 
0.25567265 	0.25760225 	0.24708205 
0.24734670 	0.24967877 	0.23923193 
0.23939598 	0.24160420 	0.23159397 
0.23151997 	0.23352231 	0.22375094 
0.22341342 	0.22579295 	0.21609725 
0.21598735 	0.21755265 	0.20826130 
0.20806077 	0.20975993 	0.20061044 
0.20009684 	0.20197087 	0.19306213 
0.19298491 	0.19475403 	0.18610350 
0.18632417 	0.18804348 	0.17977879 
0.17978616 	0.18152769 	0.17338351 
0.17327883 	0.17496447 	0.16707255 
0.16688868 	0.16849758 	0.16083929 
0.16031442 	0.16193079 	0.15450798 
0.15405590 	0.15558038 	0.14839258 
0.14778769 	0.14934003 	0.14237485 
0.14176192 	0.14325856 	0.13653461 
0.13567034 	0.13711884 	0.13063544 
0.12978321 	0.13117472 	0.12497371 
0.12377080 	0.12516806 	0.11921220 
0.11813995 	0.11943602 	0.11372554 
0.11256634 	0.11381761 	0.10835689 
0.10717524 	0.10837538 	0.10320604 
0.10193930 	0.10299276 	0.09807295 
0.09681672 	0.09789209 	0.09321446 
0.09179795 	0.09281293 	0.08835496 
0.08698476 	0.08787470 	0.08369432 
0.08230097 	0.08316227 	0.07922870 
0.07784405 	0.07864324 	0.07493899 
0.07349683 	0.07422128 	0.07074751 
0.06935342 	0.07002796 	0.06675088 
0.06506489 	0.06564208 	0.06288634 
0.06126440 	0.06179315 	0.05918191 
0.05760256 	0.05808158 	0.05565601 
0.05412258 	0.05457924 	0.05230532 
0.05073212 	0.05106683 	0.04903721 
0.04754372 	0.04787079 	0.04595994 
0.04449507 	0.04475744 	0.04302262 
0.04160636 	0.04183392 	0.04024086 
0.03884928 	0.03902686 	0.03757697 
0.03609221 	0.03621981 	0.03491307 
0.03326184 	0.03335525 	0.03221076 
0.03061335 	0.03069993 	0.02968365 
0.02810396 	0.02816035 	0.02725390 
0.02582845 	0.02583505 	0.02506073 
0.02365452 	0.02364059 	0.02294369 
0.02164863 	0.02160217 	0.02100430 
0.01972995 	0.01966873 	0.01916278 
0.01796214 	0.01789442 	0.01746796 
0.01630465 	0.01622370 	0.01586079 
0.01477686 	0.01469147 	0.01439101 
0.01334692 	0.01325329 	0.01300316 
0.01201761 	0.01191864 	0.01170912 
0.01077216 	0.01067078 	0.01050351 
0.00963012 	0.00953596 	0.00940360 
0.00857284 	0.00848022 	0.00837809 
0.00749656 	0.00740694 	0.00733285 
0.00642968 	0.00634681 	0.00629727 
0.00546415 	0.00539231 	0.00536157 
0.00423686 	0.00416652 	0.00416110 
0.00385300 	0.00378645 	0.00378428 
0.00318742 	0.00312854 	0.00313272 
0.00260059 	0.00255145 	0.00255960 
0.00188530 	0.00184882 	0.00186081 
0.00167442 	0.00163851 	0.00165074 
0.00129339 	0.00126577 	0.00127769 
0.00097255 	0.00094937 	0.00096160 
0.00070203 	0.00068494 	0.00069652 
0.00048057 	0.00046794 	0.00047690 
0.00029947 	0.00029069 	0.00029673 
0.00015580 	0.00015090 	0.00015448 
0.00000000 	0.00000000 	0.00000000
