r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10 0.0
0 0 8 0.017 0.005 0.088 0.01 5.23 -6.426 0.015 0.005 0.08 0.009 5.067 -6.225 10 0.259
0 0 16 0.045 0.015 0.235 0.026 7.257 -8.915 0.041 0.013 0.214 0.024 7.03 -8.637 10 0.359
0 0 24 0.109 0.035 0.568 0.063 9.733 -11.957 0.099 0.032 0.516 0.058 9.428 -11.583 10 0.482
0 0 32 0.201 0.065 1.047 0.117 11.934 -14.661 0.182 0.059 0.952 0.106 11.56 -14.203 10 0.591
0 0 40 0.31 0.1 1.617 0.181 13.795 -16.948 0.282 0.091 1.47 0.164 13.364 -16.418 10 0.684
0 0 48 0.455 0.147 2.376 0.265 15.681 -19.265 0.414 0.133 2.16 0.241 15.191 -18.663 10 0.777
0 0 56 0.646 0.208 3.372 0.377 17.622 -21.65 0.587 0.189 3.065 0.342 17.071 -20.973 10 0.874
0 0 64 0.888 0.286 4.636 0.518 19.595 -24.074 0.807 0.26 4.214 0.471 18.982 -23.321 10 0.972
0 0 72 1.165 0.376 6.084 0.679 21.454 -26.357 1.059 0.342 5.531 0.618 20.783 -25.533 10 1.065
0 0 80 1.503 0.485 7.85 0.877 23.356 -28.694 1.367 0.441 7.136 0.797 22.626 -27.797 10 1.16
0 0 88 1.909 0.616 9.968 1.113 25.292 -31.073 1.736 0.56 9.062 1.012 24.501 -30.101 10 1.257
0 0 96 2.381 0.768 12.434 1.389 27.226 -33.448 2.165 0.698 11.303 1.262 26.374 -32.402 10 1.355
0 0 104 2.914 0.94 15.213 1.699 29.12 -35.775 2.649 0.854 13.83 1.545 28.209 -34.656 10 1.451
0 0 112 3.504 1.13 18.292 2.043 30.965 -38.042 3.185 1.027 16.629 1.857 29.997 -36.853 10 1.545
0 0 120 4.132 1.333 21.576 2.41 32.717 -40.194 3.757 1.212 19.614 2.191 31.694 -38.937 10 1.635
0 0 128 4.804 1.549 25.08 2.801 34.4 -42.262 4.367 1.409 22.8 2.546 33.324 -40.94 10 1.723
0 0 136 5.584 1.801 29.153 3.256 36.17 -44.436 5.076 1.637 26.503 2.96 35.039 -43.047 10 1.816
0 0 144 6.382 2.059 33.323 3.721 37.818 -46.461 5.802 1.872 30.293 3.383 36.635 -45.008 10 1.904
0 0 152 7.19 2.319 37.54 4.192 39.35 -48.344 6.536 2.108 34.127 3.811 38.12 -46.832 10 1.986
0 0 160 8.017 2.586 41.855 4.674 40.803 -50.129 7.288 2.351 38.05 4.249 39.528 -48.562 10 2.065
0 0 168 8.871 2.861 46.313 5.172 42.204 -51.85 8.064 2.601 42.103 4.702 40.884 -50.228 10 2.143
0 0 176 9.757 3.147 50.939 5.689 43.565 -53.521 8.87 2.861 46.309 5.172 42.202 -51.848 10 2.219
0 0 184 10.689 3.448 55.809 6.233 44.911 -55.175 9.717 3.134 50.735 5.666 43.506 -53.45 10 2.296
0 0 192 11.718 3.78 61.179 6.833 46.307 -56.891 10.653 3.436 55.618 6.211 44.859 -55.112 10 2.376
0 0 200 13.078 4.218 68.279 7.625 48.034 -59.012 11.889 3.835 62.072 6.932 46.532 -57.167 10 2.478
0 0 208 14.557 4.696 76.005 8.479 49.781 -61.159 13.234 4.269 69.096 7.717 48.224 -59.246 10 2.581
0 0 216 16.152 5.21 84.332 9.342 51.536 -63.315 14.684 4.736 76.666 8.549 49.925 -61.335 10 2.673
0 0 224 17.822 5.749 93.047 10.186 53.254 -65.425 16.202 5.226 84.589 9.367 51.588 -63.379 10 2.762
0 0 232 19.354 6.243 101.045 10.916 54.738 -67.248 17.594 5.675 91.859 10.074 53.026 -65.145 10 2.839
0 0 240 20.872 6.733 108.974 11.602 56.134 -68.963 18.975 6.12 99.068 10.739 54.378 -66.807 10 2.912
0 0 248 22.737 7.334 118.713 12.401 57.758 -70.959 20.67 6.667 107.921 11.513 55.952 -68.74 10 2.996
