r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20 0.0
0 0 8 0.017 0.005 0.088 0.01 5.23 -6.426 0.014 0.005 0.073 0.008 4.922 -6.047 20 0.489
0 0 16 0.045 0.015 0.235 0.026 7.257 -8.915 0.038 0.012 0.196 0.022 6.829 -8.39 20 0.678
0 0 24 0.109 0.035 0.568 0.063 9.733 -11.957 0.091 0.029 0.473 0.053 9.159 -11.252 20 0.909
0 0 32 0.201 0.065 1.047 0.117 11.934 -14.661 0.167 0.054 0.873 0.097 11.23 -13.797 20 1.115
0 0 40 0.31 0.1 1.617 0.181 13.795 -16.948 0.258 0.083 1.348 0.151 12.982 -15.949 20 1.289
0 0 48 0.455 0.147 2.376 0.265 15.681 -19.265 0.379 0.122 1.98 0.221 14.756 -18.129 20 1.465
0 0 56 0.646 0.208 3.372 0.377 17.622 -21.65 0.538 0.174 2.81 0.314 16.583 -20.373 20 1.647
0 0 64 0.888 0.286 4.636 0.518 19.595 -24.074 0.74 0.239 3.863 0.431 18.44 -22.654 20 1.832
0 0 72 1.165 0.376 6.084 0.679 21.454 -26.357 0.971 0.313 5.07 0.566 20.189 -24.803 20 2.007
0 0 80 1.503 0.485 7.85 0.877 23.356 -28.694 1.253 0.404 6.542 0.731 21.979 -27.002 20 2.186
0 0 88 1.909 0.616 9.968 1.113 25.292 -31.073 1.591 0.513 8.307 0.928 23.801 -29.241 20 2.37
0 0 96 2.381 0.768 12.434 1.389 27.226 -33.448 1.985 0.64 10.361 1.157 25.62 -31.476 20 2.554
0 0 104 2.914 0.94 15.213 1.699 29.12 -35.775 2.428 0.783 12.678 1.416 27.403 -33.666 20 2.735
0 0 112 3.504 1.13 18.292 2.043 30.965 -38.042 2.92 0.942 15.244 1.702 29.139 -35.799 20 2.912
0 0 120 4.132 1.333 21.576 2.41 32.717 -40.194 3.444 1.111 17.98 2.008 30.788 -37.824 20 3.082
0 0 128 4.804 1.549 25.08 2.801 34.4 -42.262 4.003 1.291 20.9 2.334 32.371 -39.77 20 3.247
0 0 136 5.584 1.801 29.153 3.256 36.17 -44.436 4.653 1.501 24.295 2.713 34.037 -41.816 20 3.422
0 0 144 6.382 2.059 33.323 3.721 37.818 -46.461 5.319 1.716 27.769 3.101 35.588 -43.722 20 3.586
0 0 152 7.19 2.319 37.54 4.192 39.35 -48.344 5.992 1.933 31.283 3.494 37.03 -45.493 20 3.741
0 0 160 8.017 2.586 41.855 4.674 40.803 -50.129 6.68 2.155 34.879 3.895 38.398 -47.173 20 3.89
0 0 168 8.871 2.861 46.313 5.172 42.204 -51.85 7.392 2.384 38.594 4.31 39.715 -48.792 20 4.035
0 0 176 9.757 3.147 50.939 5.689 43.565 -53.521 8.13 2.623 42.45 4.741 40.996 -50.366 20 4.178
0 0 184 10.689 3.448 55.809 6.233 44.911 -55.175 8.908 2.873 46.507 5.194 42.263 -51.922 20 4.322
0 0 192 11.718 3.78 61.179 6.833 46.307 -56.891 9.765 3.15 50.983 5.694 43.577 -53.537 20 4.473
0 0 200 13.078 4.218 68.279 7.625 48.034 -59.012 10.898 3.515 56.899 6.355 45.201 -55.532 20 4.663
0 0 208 14.557 4.696 76.005 8.479 49.781 -61.159 12.131 3.913 63.338 7.074 46.846 -57.552 20 4.857
0 0 216 16.152 5.21 84.332 9.342 51.536 -63.315 13.46 4.342 70.277 7.849 48.498 -59.582 20 5.04
