r, g, b, x, y, z, L1, a1, b1, new_x, new_y, new_z, L2, a2, b2, percentage, d
0 0 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10 0.0
0 0 8 0.068 0.022 0.353 0.039 8.303 -10.2 0.061 0.02 0.321 0.036 8.043 -9.881 10 0.411
0 0 16 0.18 0.058 0.942 0.105 11.519 -14.152 0.164 0.053 0.856 0.096 11.159 -13.71 10 0.571
0 0 24 0.435 0.14 2.272 0.254 15.449 -18.98 0.396 0.128 2.065 0.231 14.966 -18.387 10 0.766
0 0 32 0.802 0.259 4.188 0.468 18.943 -23.273 0.729 0.235 3.807 0.425 18.351 -22.545 10 0.939
0 0 40 1.239 0.4 6.47 0.723 21.898 -26.903 1.127 0.363 5.882 0.657 21.214 -26.062 10 1.087
0 0 48 1.82 0.587 9.503 1.061 24.892 -30.581 1.655 0.534 8.639 0.965 24.114 -29.625 10 1.237
0 0 56 2.583 0.833 13.487 1.506 27.974 -34.367 2.348 0.757 12.261 1.369 27.099 -33.293 10 1.392
0 0 64 3.551 1.146 18.542 2.071 31.105 -38.215 3.229 1.041 16.857 1.883 30.133 -37.02 10 1.552
0 0 72 4.661 1.503 24.334 2.718 34.056 -41.839 4.237 1.367 22.122 2.471 32.991 -40.531 10 1.705
0 0 80 6.014 1.94 31.399 3.507 37.076 -45.549 5.467 1.764 28.545 3.188 35.916 -44.125 10 1.864
0 0 88 7.637 2.463 39.873 4.453 40.149 -49.325 6.943 2.239 36.248 4.048 38.893 -47.783 10 2.03
0 0 96 9.526 3.073 49.734 5.554 43.218 -53.096 8.66 2.793 45.213 5.049 41.867 -51.436 10 2.2
0 0 104 11.655 3.76 60.852 6.796 46.225 -56.79 10.596 3.418 55.32 6.178 44.779 -55.014 10 2.372
0 0 112 14.014 4.52 73.169 8.17 49.154 -60.388 12.74 4.109 66.517 7.429 47.617 -58.5 10 2.545
0 0 120 16.53 5.332 86.303 9.538 51.935 -63.805 15.027 4.847 78.458 8.739 50.311 -61.809 10 2.694
0 0 128 19.214 6.198 100.318 10.851 54.606 -67.087 17.468 5.634 91.198 10.012 52.899 -64.989 10 2.832
0 0 136 22.335 7.205 116.614 12.233 57.416 -70.539 20.305 6.55 106.013 11.35 55.62 -68.333 10 2.978
0 0 144 25.53 8.235 133.291 13.519 60.032 -73.752 23.209 7.486 121.174 12.596 58.155 -71.446 10 3.114
0 0 152 28.761 9.277 150.16 14.715 62.464 -76.741 26.146 8.434 136.509 13.755 60.511 -74.341 10 3.24
0 0 160 32.066 10.343 167.419 15.85 64.771 -79.575 29.151 9.403 152.199 14.854 62.746 -77.087 10 3.36
0 0 168 35.482 11.445 185.253 16.943 66.994 -82.306 32.256 10.405 168.412 15.913 64.899 -79.732 10 3.475
0 0 176 39.026 12.588 203.758 18.005 69.154 -84.96 35.479 11.444 185.234 16.942 66.992 -82.303 10 3.587
0 0 184 42.757 13.792 223.235 19.056 71.291 -87.585 38.87 12.538 202.941 17.96 69.062 -84.846 10 3.698
0 0 192 46.871 15.119 244.717 20.146 73.508 -90.309 42.61 13.744 222.47 19.016 71.21 -87.485 10 3.813
0 0 200 52.311 16.873 273.117 21.494 76.249 -93.676 47.555 15.339 248.289 20.321 73.864 -90.746 10 3.955
0 0 208 58.23 18.783 304.02 22.857 79.022 -97.083 52.936 17.075 276.382 21.642 76.551 -94.047 10 4.099
0 0 216 64.61 20.841 337.329 24.228 81.809 -100.507 58.736 18.946 306.663 22.97 79.251 -97.364 10 4.243
0 0 224 71.287 22.994 372.19 25.568 84.535 -103.856 64.806 20.904 338.354 24.268 81.892 -100.608 10 4.385
0 0 232 77.414 24.971 404.181 26.727 86.891 -106.75 70.376 22.701 367.437 25.391 84.174 -103.412 10 4.507
0 0 240 83.489 26.93 435.897 27.816 89.107 -109.472 75.899 24.482 396.27 26.446 86.32 -106.049 10 4.622
0 0 248 90.95 29.337 474.852 29.084 91.686 -112.641 82.682 26.67 431.684 27.675 88.819 -109.118 10 4.755
0 8 0 0.084 0.236 0.015 0.426 -11.024 9.601 0.077 0.214 0.013 0.387 -10.679 9.301 10 0.459
0 8 8 0.152 0.258 0.367 0.466 -6.149 -1.44 0.138 0.234 0.334 0.423 -5.956 -1.395 10 0.202
0 8 16 0.265 0.294 0.956 0.531 -1.053 -7.284 0.241 0.267 0.869 0.483 -1.02 -7.056 10 0.235
0 8 24 0.52 0.376 2.287 0.68 5.647 -13.955 0.472 0.342 2.079 0.618 5.471 -13.518 10 0.475
0 8 32 0.887 0.494 4.203 0.894 11.272 -19.449 0.806 0.45 3.821 0.813 10.92 -18.84 10 0.708
0 8 40 1.324 0.635 6.484 1.149 15.659 -23.835 1.203 0.578 5.895 1.044 15.169 -23.09 10 0.898
0 8 48 1.904 0.823 9.517 1.487 19.791 -28.094 1.731 0.748 8.652 1.352 19.172 -27.216 10 1.083
0 8 56 2.668 1.069 13.501 1.932 23.78 -32.335 2.425 0.972 12.274 1.757 23.036 -31.323 10 1.267
0 8 64 3.636 1.381 18.557 2.497 27.625 -36.534 3.305 1.256 16.87 2.27 26.761 -35.392 10 1.45
0 8 72 4.745 1.739 24.349 3.144 31.102 -40.417 4.314 1.581 22.135 2.858 30.129 -39.153 10 1.62
0 8 80 6.098 2.176 31.414 3.933 34.552 -44.336 5.544 1.978 28.558 3.575 33.471 -42.95 10 1.794
0 8 88 7.721 2.699 39.887 4.879 37.976 -48.282 7.019 2.454 36.261 4.436 36.789 -46.773 10 1.971
0 8 96 9.61 3.308 49.749 5.98 41.33 -52.191 8.736 3.008 45.226 5.437 40.038 -50.559 10 2.152
0 8 104 11.74 3.995 60.867 7.222 44.565 -55.995 10.672 3.632 55.333 6.566 43.172 -54.244 10 2.332
0 8 112 14.099 4.756 73.184 8.583 47.681 -59.683 12.817 4.324 66.531 7.816 46.19 -57.816 10 2.509
0 8 120 16.614 5.568 86.318 9.909 50.611 -63.171 15.104 5.061 78.471 9.099 49.028 -61.196 10 2.658
0 8 128 19.299 6.434 100.333 11.188 53.406 -66.512 17.544 5.849 91.212 10.337 51.736 -64.433 10 2.8
0 8 136 22.42 7.44 116.629 12.538 56.328 -70.018 20.382 6.764 106.026 11.645 54.567 -67.829 10 2.948
0 8 144 25.614 8.471 133.306 13.798 59.035 -73.276 23.286 7.701 121.187 12.867 57.189 -70.985 10 3.087
0 8 152 28.845 9.513 150.174 14.973 61.543 -76.3 26.223 8.648 136.522 14.005 59.618 -73.914 10 3.215
0 8 160 32.151 10.579 167.434 16.09 63.913 -79.165 29.228 9.617 152.213 15.087 61.915 -76.69 10 3.336
0 8 168 35.567 11.681 185.268 17.168 66.192 -81.922 32.333 10.619 168.425 16.13 64.122 -79.361 10 3.453
0 8 176 39.111 12.824 203.773 18.216 68.401 -84.6 35.555 11.658 185.248 17.146 66.262 -81.954 10 3.566
0 8 184 42.841 14.027 223.25 19.254 70.581 -87.246 38.947 12.752 202.955 18.152 68.374 -84.518 10 3.678
0 8 192 46.956 15.355 244.732 20.333 72.84 -89.99 42.687 13.959 222.483 19.197 70.563 -87.176 10 3.794
0 8 200 52.395 17.109 273.132 21.667 75.627 -93.379 47.632 15.554 248.302 20.489 73.262 -90.459 10 3.938
0 8 208 58.314 19.018 304.035 23.019 78.444 -96.807 53.013 17.289 276.395 21.799 75.991 -93.779 10 4.083
0 8 216 64.694 21.076 337.344 24.379 81.269 -100.248 58.813 19.16 306.676 23.116 78.727 -97.114 10 4.228
0 8 224 71.371 23.23 372.204 25.71 84.029 -103.614 64.883 21.118 338.368 24.405 81.401 -100.374 10 4.371
0 8 232 77.498 25.206 404.196 26.861 86.412 -106.521 70.453 22.915 367.451 25.52 83.709 -103.19 10 4.494
0 8 240 83.573 27.166 435.912 27.944 88.651 -109.255 75.976 24.696 396.284 26.569 85.879 -105.838 10 4.609
0 8 248 91.034 29.573 474.867 29.205 91.255 -112.435 82.758 26.884 431.697 27.791 88.401 -108.919 10 4.744
0 16 0 0.227 0.633 0.039 1.144 -15.318 13.341 0.206 0.575 0.036 1.04 -14.839 12.924 10 0.644
0 16 8 0.294 0.654 0.392 1.183 -12.409 4.024 0.267 0.595 0.356 1.075 -12.021 3.898 10 0.422
0 16 16 0.407 0.691 0.981 1.249 -8.57 -1.967 0.37 0.628 0.892 1.135 -8.302 -1.905 10 0.297
0 16 24 0.662 0.773 2.311 1.397 -2.405 -9.132 0.602 0.703 2.101 1.27 -2.33 -8.847 10 0.321
0 16 32 1.029 0.891 4.227 1.611 3.564 -15.2 0.935 0.81 3.843 1.465 3.453 -14.725 10 0.51
0 16 40 1.466 1.032 6.509 1.866 8.564 -20.089 1.332 0.938 5.917 1.696 8.297 -19.46 10 0.704
0 16 48 2.047 1.22 9.542 2.205 13.427 -24.828 1.861 1.109 8.674 2.004 13.007 -24.051 10 0.905
0 16 56 2.81 1.466 13.526 2.65 18.17 -29.51 2.554 1.333 12.296 2.409 17.601 -28.587 10 1.11
0 16 64 3.778 1.778 18.582 3.214 22.72 -34.098 3.435 1.617 16.892 2.922 22.009 -33.031 10 1.314
0 16 72 4.887 2.136 24.374 3.861 26.785 -38.291 4.443 1.942 22.158 3.51 25.947 -37.094 10 1.503
0 16 80 6.241 2.572 31.439 4.65 30.758 -42.481 5.673 2.339 28.58 4.227 29.796 -41.152 10 1.694
0 16 88 7.863 3.096 39.912 5.597 34.638 -46.658 7.149 2.815 36.284 5.088 33.555 -45.199 10 1.887
0 16 96 9.752 3.705 49.773 6.698 38.38 -50.76 8.866 3.368 45.249 6.089 37.18 -49.173 10 2.081
0 16 104 11.882 4.392 60.891 7.94 41.94 -54.725 10.802 3.993 55.356 7.218 40.629 -53.014 10 2.274
0 16 112 14.241 5.153 73.208 9.249 45.326 -58.547 12.946 4.685 66.553 8.459 43.909 -56.716 10 2.446
0 16 120 16.756 5.964 86.343 10.51 48.48 -62.144 15.233 5.422 78.493 9.681 46.964 -60.201 10 2.6
0 16 128 19.441 6.83 100.358 11.735 51.462 -65.577 17.673 6.209 91.234 10.868 49.853 -63.526 10 2.747
0 16 136 22.562 7.837 116.653 13.036 54.557 -69.167 20.511 7.125 106.048 12.128 52.851 -67.004 10 2.901
0 16 144 25.756 8.867 133.33 14.257 57.406 -72.493 23.415 8.061 121.209 13.31 55.611 -70.227 10 3.042
0 16 152 28.987 9.91 150.199 15.398 60.031 -75.575 26.352 9.009 136.544 14.416 58.154 -73.212 10 3.174
0 16 160 32.293 10.976 167.458 16.486 62.503 -78.488 29.357 9.978 152.235 15.471 60.548 -76.034 10 3.298
0 16 168 35.709 12.078 185.293 17.539 64.869 -81.288 32.462 10.98 168.448 16.49 62.84 -78.746 10 3.417
0 16 176 39.253 13.221 203.797 18.565 67.156 -84.003 35.684 12.019 185.27 17.485 65.056 -81.376 10 3.533
0 16 184 42.983 14.424 223.275 19.584 69.408 -86.684 39.076 13.113 202.977 18.471 67.237 -83.973 10 3.646
0 16 192 47.098 15.751 244.756 20.643 71.734 -89.46 42.816 14.319 222.506 19.497 69.491 -86.662 10 3.764
0 16 200 52.538 17.506 273.157 21.956 74.597 -92.885 47.761 15.915 248.324 20.769 72.264 -89.981 10 3.91
0 16 208 58.456 19.415 304.06 23.289 77.482 -96.346 53.142 17.65 276.418 22.06 75.059 -93.334 10 4.057
0 16 216 64.836 21.473 337.369 24.631 80.37 -99.818 58.942 19.521 306.699 23.36 77.857 -96.697 10 4.204
0 16 224 71.513 23.627 372.229 25.946 83.186 -103.211 65.012 21.479 338.39 24.634 80.585 -99.983 10 4.348
0 16 232 77.641 25.603 404.22 27.084 85.613 -106.139 70.582 23.276 367.473 25.737 82.936 -102.82 10 4.472
0 16 240 83.715 27.563 435.937 28.157 87.89 -108.891 76.105 25.057 396.306 26.776 85.142 -105.486 10 4.589
0 16 248 91.176 29.969 474.891 29.406 90.536 -112.091 82.888 27.245 431.719 27.986 87.705 -108.586 10 4.724
0 24 0 0.551 1.54 0.096 2.784 -20.607 17.947 0.501 1.4 0.087 2.531 -19.962 17.386 10 0.891
0 24 8 0.619 1.562 0.448 2.823 -18.901 10.567 0.563 1.42 0.407 2.566 -18.31 10.236 10 0.724
0 24 16 0.732 1.598 1.037 2.889 -16.353 4.765 0.665 1.453 0.943 2.626 -15.841 4.616 10 0.594
0 24 24 0.987 1.68 2.368 3.037 -11.594 -2.559 0.897 1.528 2.152 2.761 -11.231 -2.479 10 0.463
0 24 32 1.354 1.799 4.284 3.251 -6.274 -8.979 1.231 1.635 3.894 2.956 -6.078 -8.698 10 0.452
0 24 40 1.791 1.94 6.565 3.506 -1.349 -14.26 1.628 1.763 5.968 3.188 -1.307 -13.814 10 0.55
0 24 48 2.372 2.127 9.598 3.845 3.781 -19.445 2.156 1.934 8.726 3.495 3.663 -18.837 10 0.711
0 24 56 3.135 2.373 13.582 4.29 9.034 -24.603 2.85 2.157 12.348 3.9 8.751 -23.833 10 0.908
0 24 64 4.103 2.686 18.638 4.855 14.236 -29.665 3.73 2.441 16.944 4.413 13.791 -28.737 10 1.12
0 24 72 5.212 3.043 24.43 5.501 18.962 -34.28 4.738 2.767 22.209 5.001 18.369 -33.208 10 1.323
0 24 80 6.565 3.48 31.495 6.29 23.609 -38.868 5.969 3.163 28.632 5.719 22.87 -37.652 10 1.533
0 24 88 8.188 4.003 39.968 7.237 28.142 -43.411 7.444 3.639 36.335 6.579 27.262 -42.054 10 1.746
0 24 96 10.077 4.613 49.83 8.333 32.488 -47.84 9.161 4.193 45.3 7.58 31.472 -46.344 10 1.959
0 24 104 12.207 5.299 60.948 9.486 36.585 -52.088 11.097 4.818 55.407 8.689 35.441 -50.459 10 2.144
0 24 112 14.566 6.06 73.265 10.652 40.444 -56.155 13.242 5.509 66.604 9.818 39.18 -54.399 10 2.319
0 24 120 17.081 6.872 86.399 11.792 44.002 -59.959 15.529 6.247 78.544 10.922 42.626 -58.084 10 2.483
0 24 128 19.766 7.738 100.414 12.913 47.334 -63.568 17.969 7.034 91.285 12.009 45.854 -61.58 10 2.638
0 24 136 22.887 8.744 116.71 14.116 50.761 -67.324 20.806 7.95 106.1 13.174 49.174 -65.219 10 2.8
0 24 144 26.081 9.775 133.387 15.255 53.888 -70.789 23.71 8.886 121.261 14.278 52.203 -68.576 10 2.949
0 24 152 29.312 10.817 150.255 16.329 56.748 -73.987 26.647 9.834 136.596 15.318 54.973 -71.673 10 3.086
0 24 160 32.618 11.883 167.515 17.358 59.423 -77.001 29.653 10.803 152.286 16.315 57.565 -74.593 10 3.215
0 24 168 36.034 12.985 185.349 18.359 61.969 -79.889 32.758 11.805 168.499 17.284 60.031 -77.391 10 3.339
0 24 176 39.578 14.128 203.853 19.339 64.417 -82.683 35.98 12.844 185.321 18.234 62.403 -80.097 10 3.459
0 24 184 43.308 15.332 223.331 20.315 66.817 -85.436 39.371 13.938 203.028 19.179 64.727 -82.764 10 3.577
0 24 192 47.423 16.659 244.813 21.334 69.284 -88.281 43.112 15.144 222.557 20.166 67.118 -85.52 10 3.698
0 24 200 52.862 18.413 273.213 22.601 72.307 -91.784 48.057 16.739 248.375 21.394 70.046 -88.914 10 3.848
0 24 208 58.781 20.323 304.116 23.892 75.34 -95.317 53.438 18.475 276.469 22.644 72.984 -92.337 10 3.999
0 24 216 65.161 22.38 337.425 25.195 78.363 -98.855 59.237 20.346 306.75 23.907 75.913 -95.763 10 4.15
0 24 224 71.838 24.534 372.285 26.476 81.3 -102.305 65.307 22.304 338.441 25.148 78.757 -99.106 10 4.297
0 24 232 77.966 26.511 404.277 27.587 83.822 -105.28 70.878 24.101 367.524 26.224 81.201 -101.988 10 4.423
0 24 240 84.04 28.47 435.993 28.636 86.184 -108.072 76.4 25.882 396.357 27.24 83.489 -104.693 10 4.542
0 24 248 91.501 30.877 474.948 29.86 88.92 -111.317 83.183 28.07 431.771 28.426 86.14 -107.836 10 4.68
0 32 0 1.025 2.861 0.178 5.172 -25.333 22.063 0.931 2.601 0.161 4.702 -24.541 21.373 10 1.151
0 32 8 1.092 2.883 0.53 5.211 -24.18 16.12 0.993 2.621 0.482 4.738 -23.424 15.616 10 1.025
0 32 16 1.205 2.919 1.119 5.277 -22.374 10.684 1.095 2.654 1.018 4.797 -21.674 10.35 10 0.912
0 32 24 1.46 3.001 2.45 5.426 -18.743 3.462 1.327 2.729 2.227 4.932 -18.157 3.353 10 0.774
0 32 32 1.827 3.12 4.366 5.64 -14.322 -3.054 1.661 2.836 3.969 5.127 -13.874 -2.959 10 0.687
0 32 40 2.264 3.261 6.647 5.894 -9.926 -8.507 2.058 2.964 6.043 5.359 -9.616 -8.241 10 0.674
0 32 48 2.845 3.448 9.68 6.233 -5.076 -13.929 2.586 3.135 8.8 5.666 -4.917 -13.493 10 0.732
0 32 56 3.608 3.694 13.664 6.678 0.14 -19.376 3.28 3.358 12.422 6.071 0.135 -18.77 10 0.858
0 32 64 4.576 4.007 18.72 7.243 5.514 -24.762 4.16 3.642 17.018 6.584 5.341 -23.987 10 1.031
0 32 72 5.685 4.364 24.512 7.89 10.542 -29.695 5.169 3.968 22.284 7.172 10.212 -28.767 10 1.219
0 32 80 7.039 4.801 31.577 8.66 15.591 -34.61 6.399 4.364 28.706 7.89 15.103 -33.527 10 1.415
0 32 88 8.661 5.324 40.05 9.526 20.588 -39.477 7.874 4.84 36.409 8.728 19.944 -38.243 10 1.605
0 32 96 10.55 5.934 49.912 10.464 25.419 -44.215 9.591 5.394 45.374 9.637 24.624 -42.832 10 1.797
0 32 104 12.68 6.621 61.03 11.449 29.993 -48.747 11.527 6.019 55.482 10.59 29.055 -47.223 10 1.985
0 32 112 15.039 7.381 73.347 12.462 34.303 -53.071 13.672 6.71 66.679 11.572 33.23 -51.411 10 2.167
0 32 120 17.555 8.193 86.481 13.469 38.269 -57.1 15.959 7.448 78.619 12.548 37.072 -55.315 10 2.339
0 32 128 20.239 9.059 100.496 14.473 41.972 -60.91 18.399 8.235 91.36 13.52 40.66 -59.005 10 2.502
0 32 136 23.36 10.066 116.792 15.562 45.763 -64.859 21.236 9.151 106.174 14.575 44.332 -62.831 10 2.671
0 32 144 26.554 11.096 133.469 16.604 49.207 -68.489 24.14 10.087 121.335 15.585 47.668 -66.347 10 2.827
0 32 152 29.785 12.138 150.337 17.595 52.341 -71.828 27.077 11.035 136.67 16.544 50.704 -69.582 10 2.971
0 32 160 33.091 13.204 167.597 18.551 55.258 -74.966 30.083 12.004 152.361 17.471 53.53 -72.621 10 3.106
0 32 168 36.507 14.306 185.431 19.486 58.023 -77.965 33.188 13.006 168.574 18.377 56.209 -75.527 10 3.235
0 32 176 40.051 15.449 203.935 20.408 60.671 -80.86 36.41 14.045 185.396 19.269 58.773 -78.331 10 3.36
0 32 184 43.782 16.653 223.413 21.329 63.254 -83.705 39.801 15.139 203.103 20.162 61.276 -81.087 10 3.482
0 32 192 47.896 17.98 244.895 22.296 65.901 -86.64 43.542 16.345 222.632 21.098 63.841 -83.93 10 3.608
0 32 200 53.336 19.734 273.295 23.503 69.13 -90.245 48.487 17.94 248.45 22.268 66.968 -87.423 10 3.763
0 32 208 59.255 21.644 304.198 24.738 72.354 -93.873 53.868 19.676 276.544 23.464 70.092 -90.937 10 3.919
0 32 216 65.634 23.702 337.507 25.99 75.554 -97.498 59.668 21.547 306.824 24.677 73.191 -94.449 10 4.074
0 32 224 72.311 25.855 372.367 27.225 78.65 -101.027 65.737 23.505 338.516 25.874 76.19 -97.868 10 4.226
0 32 232 78.439 27.832 404.359 28.3 81.3 -104.064 71.308 25.302 367.599 26.914 78.758 -100.81 10 4.356
0 32 240 84.513 29.791 436.075 29.316 83.775 -106.912 76.83 27.083 396.432 27.899 81.155 -103.568 10 4.477
0 32 248 91.974 32.198 475.03 30.505 86.633 -110.216 83.613 29.271 431.845 29.05 83.924 -106.769 10 4.619
0 40 0 1.593 4.448 0.276 8.041 -29.347 25.56 1.448 4.044 0.251 7.31 -28.43 24.76 10 1.42
0 40 8 1.66 4.47 0.629 8.08 -28.481 20.612 1.51 4.064 0.572 7.346 -27.59 19.968 10 1.322
0 40 16 1.773 4.506 1.218 8.145 -27.093 15.571 1.612 4.097 1.107 7.406 -26.246 15.084 10 1.226
0 40 24 2.028 4.589 2.548 8.291 -24.199 8.552 1.844 4.171 2.316 7.541 -23.443 8.285 10 1.099
0 40 32 2.395 4.707 4.464 8.498 -20.503 2.059 2.177 4.279 4.058 7.735 -19.861 1.995 10 0.999
0 40 40 2.832 4.848 6.746 8.74 -16.657 -3.451 2.575 4.407 6.133 7.967 -16.136 -3.343 10 0.939
0 40 48 3.413 5.035 9.779 9.055 -12.24 -8.982 3.103 4.578 8.89 8.272 -11.858 -8.701 10 0.916
0 40 56 4.176 5.281 13.763 9.457 -7.31 -14.586 3.796 4.801 12.512 8.661 -7.081 -14.13 10 0.946
0 40 64 5.144 5.594 18.819 9.949 -2.059 -20.165 4.677 5.085 17.108 9.138 -1.995 -19.535 10 1.03
0 40 72 6.254 5.952 24.61 10.491 2.989 -25.304 5.685 5.411 22.373 9.663 2.896 -24.512 10 1.149
0 40 80 7.607 6.388 31.675 11.124 8.169 -30.443 6.915 5.807 28.796 10.275 7.914 -29.491 10 1.3
0 40 88 9.23 6.912 40.149 11.845 13.388 -35.547 8.391 6.283 36.499 10.974 12.969 -34.435 10 1.473
0 40 96 11.119 7.521 50.01 12.64 18.502 -40.523 10.108 6.837 45.464 11.745 17.923 -39.255 10 1.656
0 40 104 13.248 8.208 61.128 13.487 23.391 -45.285 12.044 7.462 55.571 12.565 22.659 -43.868 10 1.841
0 40 112 15.607 8.969 73.445 14.371 28.028 -49.825 14.188 8.153 66.768 13.422 27.151 -48.267 10 2.024
0 40 120 18.123 9.78 86.579 15.261 32.311 -54.052 16.475 8.891 78.709 14.283 31.3 -52.362 10 2.198
0 40 128 20.807 10.646 100.594 16.158 36.318 -58.042 18.916 9.678 91.45 15.152 35.182 -56.227 10 2.365
0 40 136 23.928 11.653 116.89 17.141 40.422 -62.171 21.753 10.593 106.264 16.105 39.158 -60.226 10 2.54
0 40 144 27.123 12.683 133.567 18.09 44.147 -65.958 24.657 11.53 121.425 17.024 42.766 -63.895 10 2.701
0 40 152 30.353 13.725 150.436 18.999 47.532 -69.434 27.594 12.477 136.76 17.905 46.046 -67.263 10 2.85
